球员,总分,传球,传中,盯人,罚点球,技术,角球,界外球,盘带,抢断,任意球,射门,停球,头球,远射,才华,防守站位,工作投入,集中,决断,领导力,侵略性,视野,团队合作,无球跑动,意志力,勇敢,预判,镇定,爆发力,弹跳,灵活,耐力,平衡,强壮,速度,体质,稳定,大赛,抗压
埃米利亚诺·马丁内斯 - 选​择球​员,375.0783333333333,12,3,3,2,12,5,3,2,1,9,2,11,5,2,8,12,13,12,13,13,7,7,14,11,16,16,15,13,11,13,18,12,13,12,12,13,14,15,18
尤里·蒂耶勒曼斯 - 选​择球​员,392.6408333333334,18,13,12,14,17,11,3,13,12,12,12,16,11,14,15,13,13,12,15,12,13,18,14,14,13,11,15,15,12,8,12,13,12,11,12,15,16,12,13
利昂·贝利 - 选​择球​员,431.70916666666665,13,14,4,12,14,13,9,14,7,10,14,13,7,14,17,8,10,10,9,8,13,13,11,13,15,12,16,10,16,11,13,13,10,9,16,12,11,15,12
道格拉斯·路易斯 - 选​择球​员,393.72833333333335,14,13,13,15,15,16,9,13,14,12,13,14,12,13,15,13,13,12,13,13,13,14,14,14,13,12,14,16,12,11,12,13,14,13,12,15,11,12,10
罗斯·巴克利 - 选​择球​员,413.21250000000003,16,11,6,12,16,13,9,16,8,14,12,16,12,15,15,12,14,12,12,13,9,15,13,12,12,11,14,12,13,12,11,12,14,15,13,12,8,12,13
塔米·亚伯拉罕 - 选​择球​员,430.1125,13,8,6,14,14,5,7,13,8,9,13,14,15,10,13,8,15,13,12,12,14,13,16,15,16,14,13,12,13,16,14,13,14,15,14,13,12,14,10
杰登·桑乔 - 选​择球​员,416.4291666666667,16,13,6,10,17,13,6,16,7,12,9,16,6,10,17,8,13,12,15,8,7,16,14,14,6,7,14,16,15,8,15,12,14,8,14,12,12,12,10
莫甘·罗杰斯 - 选​择球​员,444.3016666666667,14,12,9,5,16,10,4,17,9,12,14,13,8,16,18,9,13,11,10,8,10,13,12,13,17,10,13,13,15,11,15,13,17,14,16,14,11,11,14
伊恩·马特森 - 选​择球​员,425.8408333333332,14,14,12,11,15,12,12,13,13,13,13,14,9,11,14,13,15,11,13,7,14,13,15,13,14,13,14,14,16,9,13,14,13,10,16,14,14,13,12
泰伦·明斯 - 选​择球​员,433.83250000000004,15,10,14,2,13,9,12,13,15,5,6,12,16,9,12,14,14,13,12,16,15,12,15,13,16,16,13,14,15,15,13,14,13,15,14,16,13,13,14
奥利·沃特金斯 - 选​择球​员,437.91666666666663,13,12,6,14,13,8,5,13,7,7,15,13,15,12,13,9,19,12,12,13,10,12,17,16,16,15,15,11,15,13,13,17,12,15,14,18,13,14,14
埃兹里·康萨 - 选​择球​员,434.18583333333345,14,7,14,4,15,4,7,13,16,3,5,14,15,3,10,15,16,14,14,14,13,14,15,10,13,14,15,16,15,14,12,15,14,14,14,15,16,13,13
马蒂·卡希 - 选​择球​员,414.79583333333335,13,13,11,8,14,10,17,13,14,10,12,14,12,13,11,12,16,11,13,9,16,12,16,15,15,14,16,13,14,10,14,15,13,13,14,15,13,10,12
哈维·埃利奥特 - 选​择球​员,402.07666666666665,15,15,9,12,16,13,7,14,10,12,9,16,7,11,14,10,16,15,13,10,14,15,17,16,16,13,14,16,13,6,13,14,16,9,12,13,11,13,14
马尔科·比佐特 - 选​择球​员,353.08166666666665,11,3,1,2,9,6,2,6,3,9,1,10,7,3,10,13,13,12,11,13,6,9,11,8,14,15,11,12,10,14,17,11,13,13,10,13,15,13,15
布巴卡尔·卡马拉 - 选​择球​员,442.55749999999995,15,8,15,7,15,6,5,13,16,6,6,14,14,10,10,17,16,14,15,9,12,13,16,13,13,14,18,17,14,14,15,16,15,13,15,16,15,13,12
约翰·麦吉恩 - 选​择球​员,427.5175,14,12,10,10,14,13,9,14,12,10,14,13,13,13,13,13,17,13,11,15,15,12,17,13,16,15,14,12,14,9,16,15,14,16,14,17,13,15,13
埃米利亚诺·布恩迪亚 - 选​择球​员,402.93166666666673,15,13,8,12,16,14,12,15,12,15,14,15,12,12,18,9,16,10,13,11,16,16,13,12,16,16,13,13,13,10,13,13,12,9,13,14,12,14,12
波·托雷斯 - 选​择球​员,419.23583333333335,16,8,14,8,15,7,7,12,16,5,6,14,16,7,5,15,15,14,14,12,12,13,14,6,13,14,14,15,12,17,15,16,10,16,13,14,15,12,10
卢卡斯·迪涅 - 选​择球​员,420.44166666666666,15,16,11,6,14,13,15,13,13,16,8,14,12,13,10,13,15,13,14,9,13,13,14,15,16,15,14,15,15,8,14,16,13,12,14,15,14,15,14
阿曼杜·奥纳纳 - 选​择球​员,451.2616666666667,14,9,12,9,14,7,8,14,15,9,10,14,16,13,14,14,14,12,13,12,15,14,12,13,14,14,12,15,14,16,15,15,15,15,17,14,13,15,13
维克托·林德洛夫 - 选​择球​员,408.64833333333337,14,10,15,12,14,3,10,12,14,6,7,14,15,4,7,15,13,13,14,11,8,12,14,6,12,9,14,13,13,14,13,16,13,13,13,16,13,15,13
安德烈斯·加西亚 - 选​择球​员,405.1466666666667,13,13,10,8,13,8,9,13,12,9,9,13,9,12,14,10,14,10,10,6,12,11,14,13,13,10,13,12,14,10,15,13,11,12,15,13,13,12,13
约翰·鲁迪 - 选​择球​员,288.12333333333333,9,3,3,3,9,1,3,1,3,1,1,8,1,2,3,11,5,12,10,16,6,8,12,6,17,14,12,12,6,14,17,12,11,14,8,12,13,13,15
乔林顿 - 选​择球​员,446.9908333333333,13,11,7,11,14,7,6,16,15,8,11,15,16,10,14,14,20,13,15,12,17,13,19,14,15,20,15,14,13,15,13,18,15,19,14,13,15,14,13
布鲁诺 - 选​择球​员,429.24083333333334,18,12,13,11,18,11,5,16,14,12,12,18,10,11,15,16,16,15,15,16,18,17,15,14,16,16,16,18,13,12,13,17,17,14,11,15,15,15,14
基兰·特里皮尔 - 选​择球​员,400.91583333333335,16,15,14,5,16,15,11,11,14,16,9,15,11,12,8,14,17,12,14,16,12,16,17,15,15,13,15,15,12,9,12,14,14,13,12,16,15,15,13
哈维·巴恩斯 - 选​择球​员,418.7683333333333,11,14,6,8,14,11,4,15,7,11,14,14,8,14,15,4,12,12,12,7,9,13,12,12,12,11,12,13,15,10,14,13,13,12,15,13,12,12,11
乔·维洛克 - 选​择球​员,424.25916666666666,13,11,8,9,13,7,4,13,10,10,12,13,7,11,15,9,16,13,12,4,10,14,16,16,13,12,14,13,17,8,13,14,13,12,14,14,13,13,13
安东尼·戈登 - 选​择球​员,451.2483333333333,13,14,8,12,14,12,5,17,11,12,13,14,7,12,15,9,16,12,13,9,13,14,15,16,17,13,14,15,17,11,14,15,15,10,17,12,12,8,12
安东尼·伊兰加 - 选​择球​员,450.49,11,10,1,10,14,10,2,13,6,11,13,12,7,11,16,10,14,10,8,4,12,8,14,12,14,9,11,10,18,10,15,15,11,13,18,15,12,14,12
蒂诺·利夫拉曼托 - 选​择球​员,437.53083333333325,13,13,11,7,14,7,11,15,14,7,9,13,12,5,12,14,15,13,14,10,12,12,15,12,15,15,14,13,16,11,14,14,13,13,16,14,16,12,15
内森·卡莱恩 - 选​择球​员,309.6041666666667,11,8,10,7,13,8,3,7,11,8,8,9,8,12,5,12,14,10,11,9,11,12,10,9,10,9,10,9,10,8,9,9,6,5,11,8,14,1,11
马克·吉莱斯皮 - 选​择球​员,312.4175,9,2,1,2,11,3,2,2,1,1,1,8,9,3,5,11,11,11,12,7,9,8,7,9,11,13,10,10,9,12,15,14,9,13,9,13,13,13,11
丹·伯恩 - 选​择球​员,396.8983333333333,13,9,15,5,12,7,13,9,16,4,9,12,15,4,8,16,17,13,12,15,15,10,17,9,16,17,15,13,10,19,12,15,8,17,12,12,15,12,12
雅各布·墨菲 - 选​择球​员,416.8266666666667,12,15,10,5,13,12,5,15,10,13,11,14,4,12,13,10,18,11,12,9,9,12,13,13,15,10,13,12,15,7,15,11,13,11,16,13,13,7,11
尼克·波普 - 选​择球​员,347.4908333333333,8,1,3,3,7,6,1,3,3,9,1,6,3,1,4,15,15,12,11,10,8,6,15,2,14,14,15,9,9,18,18,10,12,13,9,10,15,13,13
亚伦·拉姆斯代尔 - 选​择球​员,332.87666666666667,13,2,1,3,13,4,1,2,3,5,1,13,7,3,10,13,11,13,13,12,12,14,15,9,17,15,14,13,9,15,9,13,13,16,8,11,14,13,14
雅各布·拉姆塞 - 选​择球​员,424.34666666666664,13,11,10,9,14,8,7,16,10,7,14,14,9,12,13,11,14,12,13,8,9,13,14,14,15,16,14,15,15,11,15,14,13,13,14,15,12,14,10
斯文·博特曼 - 选​择球​员,412.195,14,8,16,4,13,8,9,10,16,5,6,13,15,6,8,16,15,15,15,13,10,11,16,9,15,17,15,15,12,15,13,15,14,17,12,12,16,11,11
桑德罗·托纳利 - 选​择球​员,425.22416666666663,16,13,13,12,15,14,9,14,15,13,9,16,9,12,12,16,19,15,15,13,15,14,19,13,16,16,15,16,13,9,14,16,15,14,13,14,15,14,14
约阿内·维萨 - 选​择球​员,432.6833333333333,13,11,6,13,14,10,8,13,8,10,15,14,13,12,13,8,15,14,13,10,13,12,14,16,14,14,15,15,16,11,14,14,12,12,14,14,15,15,13
尼克·沃特梅德 - 选​择球​员,439.20666666666665,14,8,8,16,16,6,6,16,9,12,15,16,14,12,16,8,14,12,13,13,13,15,15,13,16,13,14,13,12,17,15,13,18,15,13,12,14,16,14
马利茨基·希奥 - 选​择球​员,417.7491666666667,12,8,15,9,13,5,14,9,15,4,7,13,15,7,7,14,13,14,14,12,15,12,14,8,16,12,14,14,12,16,14,14,14,16,14,15,12,13,14
埃米尔·克拉夫斯 - 选​择球​员,416.10333333333324,12,13,14,7,13,8,10,11,14,9,7,11,13,10,8,13,15,13,13,10,11,14,13,12,13,15,13,12,14,13,14,14,15,13,15,12,14,11,13
法比安·沙尔 - 选​择球​员,402.4658333333333,16,9,16,14,13,6,8,12,16,12,11,15,15,12,9,15,12,14,12,11,17,15,16,9,12,15,15,16,11,14,14,13,12,15,12,12,15,14,14
刘易斯·霍尔 - 选​择球​员,414.8241666666666,13,15,12,15,13,12,10,14,14,13,10,14,10,11,11,13,15,13,13,10,10,13,15,11,15,14,13,15,14,9,14,14,13,13,14,13,15,14,15
刘易斯·迈利 - 选​择球​员,413.8116666666666,14,12,12,10,13,13,8,13,13,10,11,14,13,12,12,13,16,13,13,8,13,13,15,13,14,15,14,14,14,13,15,12,13,12,13,15,14,13,14
马塔·萨尔 - 选​择球​员,419.37416666666667,13,7,12,9,13,7,8,13,13,8,9,14,10,10,13,14,14,15,12,10,11,12,14,13,16,16,16,15,14,12,11,16,15,14,13,14,12,13,16
伊夫·比索玛 - 选​择球​员,429.1741666666667,14,11,14,13,15,8,7,16,17,13,9,14,12,13,14,14,14,10,10,11,13,10,15,12,14,14,12,15,16,12,12,16,13,15,14,14,8,13,11
穆罕默德·库杜斯 - 选​择球​员,423.0908333333333,13,14,7,13,16,15,11,16,6,14,12,14,9,10,16,7,13,11,10,6,15,12,14,13,13,14,13,12,15,8,14,14,15,16,14,14,11,8,10
罗德里戈·本坦库尔 - 选​择球​员,410.695,13,10,14,8,14,10,7,14,15,12,10,15,12,11,11,14,15,13,12,10,16,14,15,10,12,13,13,12,12,13,13,15,15,14,13,14,13,11,17
克里斯琴·罗梅罗 - 选​择球​员,435.26333333333326,14,6,14,8,14,5,4,9,18,4,8,13,15,5,8,16,17,15,13,15,20,11,14,6,16,15,18,16,14,14,13,14,14,15,14,15,12,16,12
理查列森 - 选​择球​员,420.21666666666664,11,11,6,12,13,10,8,11,12,9,13,10,17,11,14,10,16,12,10,9,15,10,13,10,14,16,12,10,15,11,15,16,12,13,15,11,10,11,13
本·戴维斯 - 选​择球​员,400.60749999999996,14,12,13,10,13,11,11,12,15,13,8,13,15,7,9,13,16,11,14,12,13,12,15,13,15,18,15,13,12,12,13,16,13,14,13,14,14,10,12
詹姆斯·麦迪逊 - 选​择球​员,410.40583333333336,16,14,7,14,17,12,4,16,11,16,14,15,5,14,16,11,14,12,11,12,8,15,13,13,15,12,13,15,13,8,13,13,17,10,13,15,8,12,14
布兰登·奥斯丁 - 选​择球​员,360.07416666666666,11,2,2,2,11,4,3,3,2,7,3,11,1,3,2,15,12,14,11,11,9,9,12,13,8,14,12,11,11,14,9,13,11,13,12,13,13,11,11
康纳·加拉格尔 - 选​择球​员,410.4766666666667,13,12,9,7,13,12,6,13,13,12,14,13,8,12,12,12,19,14,14,11,17,13,16,14,17,15,11,13,14,10,15,17,11,11,13,16,13,11,14
马修·克雷格 - 选​择球​员,346.8041666666667,13,9,11,6,12,7,2,10,13,7,8,12,11,7,6,11,13,10,12,9,14,12,11,11,12,12,14,12,11,11,12,15,10,9,10,15,11,8,10
多米尼克·索朗克 - 选​择球​员,425.5191666666666,11,10,7,14,14,5,7,10,8,8,15,15,13,10,12,9,19,12,13,5,13,11,15,14,12,13,16,15,14,14,13,16,13,14,14,17,12,12,11
泰德·斯宾塞 - 选​择球​员,419.9241666666666,10,12,13,6,10,6,10,10,15,6,11,10,7,7,13,12,12,14,11,7,11,11,12,13,10,11,15,14,17,12,11,15,12,13,15,13,12,12,13
米基·范德文 - 选​择球​员,471.8491666666667,13,11,14,6,13,3,14,13,16,3,7,12,13,7,13,14,15,13,15,14,14,12,13,10,17,16,15,13,16,15,16,13,14,15,20,16,14,14,13
古格列莫·维卡里奥 - 选​择球​员,382.15749999999997,12,1,3,3,8,5,2,3,1,7,2,7,8,2,9,14,11,15,12,14,10,11,12,8,16,15,14,15,12,16,14,15,13,13,12,13,12,12,13
德扬·库鲁舍夫斯基 - 选​择球​员,441.5633333333333,15,13,4,11,16,11,4,16,7,9,14,17,7,11,15,6,17,12,14,12,7,14,17,15,15,8,15,14,13,12,14,18,17,17,14,14,14,14,15
伊诺马·德斯特尼·乌多吉 - 选​择球​员,437.86250000000007,14,13,11,10,13,7,12,13,13,7,11,12,12,10,12,13,15,14,12,8,10,12,14,13,14,12,13,14,16,13,16,16,14,14,16,14,11,13,13
兰德尔·科洛 - 选​择球​员,452.88999999999993,12,9,5,15,15,7,6,11,6,8,15,15,13,10,16,6,11,12,13,10,14,12,11,12,15,12,14,13,17,14,15,14,14,13,16,16,13,14,15
若奥·帕尔辛哈 - 选​择球​员,427.55749999999995,12,8,14,12,12,6,8,11,19,8,8,12,15,13,8,16,19,16,13,13,18,11,16,9,19,19,16,12,11,16,15,16,16,16,13,15,16,12,12
拉杜·德拉古辛 - 选​择球​员,423.6783333333334,13,12,15,6,13,6,10,10,15,6,6,14,16,6,10,15,12,12,11,11,14,10,11,9,14,13,13,11,14,15,16,15,14,17,14,14,13,12,13
佩德罗·波罗 - 选​择球​员,428.19083333333333,14,13,12,12,15,13,11,15,12,13,11,15,8,14,17,11,13,11,11,8,15,15,12,15,16,17,11,12,16,8,14,15,13,12,15,17,13,14,14
哈维·西蒙斯 - 选​择球​员,427.9816666666667,16,11,8,13,16,13,5,17,9,13,12,16,9,14,16,9,13,12,12,10,15,15,13,13,17,12,13,14,15,10,15,15,12,10,14,15,13,16,12
凯温·丹索 - 选​择球​员,438.44083333333333,13,7,14,10,10,5,17,8,13,5,10,12,15,7,7,15,15,12,13,10,13,8,12,13,15,15,14,11,14,17,15,13,14,15,16,16,14,13,13
安顿尼·金斯基 - 选​择球​员,338.39916666666664,15,3,6,5,8,3,3,4,6,5,3,11,5,2,13,13,7,13,13,11,5,10,12,2,15,13,12,13,10,14,13,8,12,14,9,12,13,14,15
马蒂斯·特尔 - 选​择球​员,423.52,12,11,7,14,14,11,6,14,7,12,13,13,12,12,15,7,14,10,10,11,10,11,13,12,16,11,13,11,15,12,14,13,11,13,15,15,11,14,10
卢卡斯·伯格瓦尔 - 选​择球​员,431.49249999999995,15,9,10,8,15,16,15,15,10,16,9,17,10,11,13,8,15,12,12,10,12,13,14,13,18,11,11,16,16,12,16,14,14,15,13,12,13,7,15
卢卡什·法比安斯基 - 选​择球​员,295.5225,10,1,7,3,6,3,2,1,13,7,2,7,10,2,5,14,12,16,11,10,10,9,13,4,15,12,12,15,6,13,18,9,11,12,7,13,15,15,10
托马斯·苏切克 - 选​择球​员,416.8024999999999,9,8,14,13,10,2,2,10,15,2,14,9,18,12,5,15,18,15,15,13,15,9,17,14,16,17,14,15,11,17,11,18,15,16,11,18,14,15,14
马斯·赫尔曼森 - 选​择球​员,334.5775,11,3,1,2,12,3,1,3,1,6,2,11,7,3,11,12,11,12,11,11,13,11,14,2,12,12,12,13,11,13,18,11,11,11,10,6,15,11,12
卡鲁姆·威尔逊 - 选​择球​员,400.2383333333334,13,8,4,17,13,6,4,11,7,6,15,11,12,10,11,8,17,13,15,12,10,12,15,17,15,15,15,17,13,11,11,13,13,15,11,12,12,13,12
麦克希尔·安东尼奥 - 选​择球​员,415.06,11,10,9,10,13,8,15,13,8,6,12,11,15,9,14,9,14,11,11,9,13,11,14,13,14,13,13,11,14,12,12,13,15,15,14,11,14,13,13
亚伦·比萨卡 - 选​择球​员,424.15083333333337,11,11,12,5,11,5,8,13,19,4,7,12,8,5,12,13,13,12,12,6,15,6,16,12,10,17,12,12,16,10,14,15,15,13,15,15,13,12,14
贾洛德·博文 - 选​择球​员,418.765,13,13,5,13,14,13,4,14,8,12,15,14,10,14,14,8,17,10,14,12,10,13,15,15,17,8,14,14,15,8,12,15,11,8,14,14,15,15,15
基伦·沃克·皮特斯 - 选​择球​员,403.83083333333326,12,13,11,7,13,8,5,15,14,6,10,14,8,8,11,13,15,11,12,8,12,12,15,14,14,12,12,13,14,6,15,16,14,10,14,18,14,5,14
马克斯·希尔曼 - 选​择球​员,406.2408333333334,14,11,14,2,14,4,7,13,14,10,6,13,12,7,11,14,12,12,12,6,7,13,12,11,15,9,13,13,13,15,14,13,13,11,14,11,13,13,15
科斯塔斯·马洛帕诺斯 - 选​择球​员,429.4366666666666,13,8,13,6,12,2,16,12,15,2,7,11,15,11,12,12,17,10,10,12,10,12,12,10,18,14,13,12,13,16,13,12,15,16,15,13,14,13,15
科瑞森西奥·萨默维尔 - 选​择球​员,420.5058333333333,11,11,4,11,13,11,2,16,5,10,10,13,5,13,15,4,12,8,10,5,7,11,10,12,13,9,13,13,18,5,15,13,14,5,16,11,12,8,14
阿克塞尔·蒂萨西 - 选​择球​员,420.9075,12,6,14,8,11,5,9,8,15,5,6,12,16,8,6,13,14,13,13,13,13,11,13,11,14,15,14,13,13,15,14,16,17,18,14,14,12,13,12
让 - 克莱尔·托迪波 - 选​择球​员,436.2149999999999,14,5,15,5,13,3,7,12,15,4,8,13,14,8,11,14,12,14,11,11,14,12,14,7,15,14,15,14,14,14,16,14,13,16,15,17,15,15,15
亚当穆斯·特拉奥雷 - 选​择球​员,472.35249999999996,11,12,7,9,12,6,7,18,7,8,11,10,10,11,18,10,9,8,6,5,12,8,9,9,14,11,9,10,19,14,17,10,14,17,19,12,9,10,12
塔蒂·卡斯特拉诺斯 - 选​择球​员,426.1133333333333,13,10,4,14,15,4,4,12,7,12,14,14,18,12,14,8,15,12,13,10,17,13,17,15,18,15,16,12,14,13,13,13,16,13,13,15,13,12,8
马特乌斯·费尔南德斯 - 选​择球​员,404.88,15,11,10,8,16,14,6,14,14,13,10,15,9,10,14,11,16,16,14,11,14,14,16,13,15,11,14,15,12,8,15,14,14,12,12,15,14,15,17
阿方斯·阿雷奥拉 - 选​择球​员,386.97749999999996,10,2,3,3,10,4,1,2,2,8,3,10,3,12,8,13,13,14,12,10,8,9,15,8,14,13,14,15,12,15,16,15,16,13,12,15,16,12,12
巴勃罗 - 选​择球​员,415.9766666666667,11,8,9,13,12,5,4,12,13,5,14,12,13,12,12,10,17,12,13,11,19,10,14,12,18,16,15,15,12,13,12,14,16,14,13,16,13,14,15
弗雷迪·普茨 - 选​择球​员,382.7366666666666,14,6,13,9,13,13,7,7,14,12,8,12,12,8,6,14,15,14,13,9,12,11,13,11,15,10,13,13,11,12,13,16,12,13,13,16,14,13,12
索古恩图·马加撒 - 选​择球​员,389.86999999999995,13,11,14,8,11,10,6,10,14,7,7,12,14,11,10,13,13,12,12,10,14,12,14,12,13,12,13,12,12,14,13,15,13,14,12,12,12,11,15
奥利·斯卡勒斯 - 选​择球​员,384.13666666666666,12,12,13,11,12,11,7,12,12,5,11,10,6,7,8,12,13,10,12,1,10,12,13,12,13,12,11,13,13,12,13,14,12,10,13,12,10,10,11
丹尼尔·库明斯 - 选​择球​员,348.63166666666666,9,4,2,2,8,5,5,13,1,3,10,9,9,6,15,5,7,6,10,12,6,6,5,9,13,7,5,6,13,8,9,10,6,5,12,12,9,4,10
埃尔·哈吉·马利克·迪乌夫 - 选​择球​员,426.53583333333324,13,16,13,2,13,7,12,13,14,2,11,13,12,9,13,11,14,11,11,5,16,12,13,11,14,15,13,11,16,12,16,14,13,13,15,17,9,11,12
谢克·杜考雷 - 选​择球​员,396.0075,15,9,14,10,14,8,10,12,15,8,9,14,12,11,10,14,14,13,13,10,14,15,14,12,15,14,15,13,12,10,13,13,12,12,13,10,15,12,16
哈尔特·贝尼特斯 - 选​择球​员,332.195,11,1,2,3,8,3,2,3,1,2,3,6,5,3,15,15,13,14,12,14,5,10,14,12,15,15,14,13,8,15,11,13,15,14,8,16,15,16,15
博尔纳·索萨 - 选​择球​员,396.1758333333334,13,15,10,12,14,14,14,13,12,13,6,14,8,11,14,11,10,10,10,10,13,14,14,13,13,11,11,11,13,12,14,13,13,11,13,11,12,15,14
纳撒尼尔·克莱因 - 选​择球​员,377.0383333333333,11,11,14,5,13,5,11,10,14,6,5,11,10,4,8,14,15,14,12,11,14,11,15,11,12,14,13,13,12,9,10,13,12,12,12,12,12,14,13
埃迪·恩凯提亚 - 选​择球​员,423.0325,12,12,7,14,14,6,6,13,7,5,14,12,14,9,15,9,13,11,11,7,13,11,15,14,14,12,13,14,15,9,15,14,15,11,15,14,12,12,14
泰瑞克·米切尔 - 选​择球​员,421.7699999999999,12,12,13,7,12,7,11,12,17,7,7,11,11,8,10,15,15,14,12,8,15,13,16,13,13,13,13,13,15,9,14,16,15,13,15,16,13,13,15
雷米·马修斯 - 选​择球​员,312.0025,5,3,1,5,10,3,3,3,3,1,3,8,6,1,1,12,9,9,11,9,7,9,12,5,9,12,10,12,8,15,9,14,11,13,9,10,8,7,8
威尔·休斯 - 选​择球​员,372.595,14,11,14,11,14,14,6,12,14,12,9,13,11,10,11,14,16,13,14,14,16,14,15,13,15,15,15,14,9,13,11,14,12,13,11,12,15,13,13
迪安·汉德森 - 选​择球​员,370.295,11,2,1,2,11,1,3,1,3,1,2,11,7,3,13,15,11,14,13,12,15,8,13,13,15,14,14,13,12,14,10,12,12,11,11,14,14,18,14
布伦南·约翰逊 - 选​择球​员,425.60749999999996,10,11,7,14,11,10,6,10,6,11,16,11,8,11,12,7,12,10,10,8,7,11,13,17,12,8,14,14,16,12,16,13,14,10,15,13,11,14,14
镰田大地 - 选​择球​员,387.21333333333337,13,12,10,14,14,14,4,13,12,13,12,14,7,13,13,12,13,12,12,7,12,13,14,13,12,11,12,12,12,11,14,13,13,10,13,14,13,13,12
伊斯马里亚·萨尔 - 选​择球​员,442.49583333333334,12,11,6,13,12,10,6,15,7,10,14,13,10,12,14,7,14,10,11,6,9,12,12,14,12,12,13,13,15,14,16,14,14,13,17,15,12,14,10
简菲力浦·马特塔 - 选​择球​员,441.60166666666663,11,8,9,16,13,6,4,14,7,8,15,14,14,9,14,11,14,12,12,11,15,10,14,14,13,14,13,12,14,16,16,14,14,16,15,14,14,14,10
马克森斯·拉克鲁瓦 - 选​择球​员,442.09083333333336,12,7,15,6,12,3,7,11,14,3,7,12,15,6,12,14,14,12,13,13,16,12,13,8,16,16,15,12,15,15,14,12,14,15,17,15,14,11,11
艾万·古伊桑德 - 选​择球​员,426.4816666666666,12,10,5,12,13,7,4,13,8,6,13,14,12,13,14,10,14,11,13,7,12,12,14,14,15,14,13,11,15,14,14,14,14,13,14,15,13,13,12
约根·斯特兰德·拉尔森 - 选​择球​员,428.1941666666666,13,6,8,12,14,5,6,13,7,6,14,12,14,12,14,8,14,14,13,8,13,13,15,16,12,14,14,13,13,16,16,13,15,16,14,13,12,11,6
叶雷米·皮诺 - 选​择球​员,410.74833333333345,15,13,8,12,16,13,9,15,9,13,12,15,9,12,16,8,10,13,13,7,12,14,10,10,14,10,13,13,14,7,14,13,14,9,14,13,10,14,16
克里斯托弗·理查兹 - 选​择球​员,427.0199999999999,11,9,13,6,12,4,16,10,14,4,6,12,15,6,9,14,14,15,12,12,15,11,14,11,15,17,14,10,14,15,15,14,13,15,15,13,14,13,14
赫费尔松·莱尔马 - 选​择球​员,402.3783333333334,12,9,13,9,12,9,15,11,14,9,7,12,15,10,9,13,15,14,12,9,15,11,13,11,15,16,14,12,13,14,13,14,14,14,12,15,11,14,12
丹尼尔·穆尼奥斯 - 选​择球​员,428.76583333333326,12,13,13,8,12,10,9,14,13,9,10,14,13,12,13,13,18,12,12,12,16,11,15,13,15,15,14,12,15,13,15,17,13,13,14,18,14,13,10
克雷格·法夸尔 - 选​择球​员,358.48416666666674,9,3,12,3,11,2,6,7,13,5,5,10,13,3,3,9,10,11,10,7,5,6,7,10,8,10,11,9,12,15,11,12,9,12,10,13,9,9,13
亚当·沃顿 - 选​择球​员,396.66166666666663,16,13,12,10,15,13,2,13,12,13,7,15,9,9,14,12,15,13,15,7,14,16,15,13,14,12,14,15,13,11,11,13,13,12,12,14,15,12,12
乍迪·雷亚德 - 选​择球​员,412.8325000000001,12,7,13,7,13,5,9,12,13,5,6,12,14,7,7,14,14,12,13,10,14,11,15,8,14,14,13,10,13,15,10,13,14,13,14,14,12,15,13
杰迪·坎沃特 - 选​择球​员,401.9241666666667,12,7,14,7,12,6,6,10,13,6,8,13,13,8,9,12,13,12,11,8,12,11,13,11,14,13,12,11,13,15,14,14,14,13,13,14,12,10,13
埃基克·乌切 - 选​择球​员,428.5225000000001,12,9,9,13,12,7,11,11,10,6,11,11,12,10,13,10,13,13,11,10,16,11,13,11,16,14,13,12,15,14,14,14,14,14,15,16,13,12,13
贝特兰德·特拉奥雷 - 选​择球​员,410.7758333333333,12,12,6,10,14,13,4,14,5,14,13,15,12,13,17,5,14,9,11,7,8,11,8,13,13,10,11,8,15,10,14,13,10,12,15,12,7,12,13
雷尼尔多 - 选​择球​员,416.06166666666667,12,12,15,5,12,8,9,12,15,8,8,12,13,8,8,17,17,16,13,6,16,11,17,13,17,17,14,13,14,11,12,16,11,12,14,14,16,13,14
伊恩·波韦达 - 选​择球​员,387.93083333333334,11,11,3,4,14,9,3,16,4,12,10,13,6,10,16,6,11,10,8,4,7,10,9,12,7,7,10,11,15,6,14,11,15,7,14,7,5,6,9
丹尼尔·巴拉德 - 选​择球​员,414.22666666666663,12,4,15,7,11,3,6,8,14,5,6,13,18,8,9,13,15,14,11,14,16,9,16,7,15,16,13,14,12,16,12,15,11,17,14,12,15,13,13
杰克·钻石 - 选​择球​员,396.8808333333333,9,9,8,11,12,9,5,14,6,7,10,10,6,9,15,8,15,9,7,5,8,8,5,11,11,11,10,11,14,8,14,12,11,9,14,15,7,8,7
丹尼斯·瑟钦 - 选​择球​员,402.4908333333334,15,12,14,8,13,10,9,14,13,5,10,13,12,10,8,12,15,12,13,10,13,9,13,13,14,14,12,13,14,10,13,14,12,11,13,14,13,14,13
罗曼·蒙德勒 - 选​择球​员,406.4666666666666,10,12,11,9,12,10,5,15,11,11,12,12,6,12,14,10,14,9,12,8,14,13,9,11,14,10,12,11,14,9,16,12,15,13,14,14,8,11,16
西蒙·摩尔 - 选​择球​员,317.84916666666663,9,3,3,6,8,4,1,3,7,5,2,7,7,3,9,13,10,10,10,10,9,6,10,1,13,14,11,10,7,16,13,13,13,14,8,12,9,12,10
